case_id,category,ai_root_cause,ai_confidence,verdict,corrected_root_cause,reviewer_notes
V01,VLAN,Trunk between SW1 and SW2 is not carrying VLAN 20,high,Accepted,Trunk between SW1 and SW2 is not carrying VLAN 20,AI root cause matches evidence and known correct fault. Approved as-is.
V02,VLAN,Fa0/5 access port assigned to VLAN 99 instead of the intended VLAN 10,high,Accepted,Fa0/5 access port assigned to VLAN 99 instead of the intended VLAN 10,AI root cause matches evidence and known correct fault. Approved as-is.
V03,VLAN,Trunk between SW1 and SW2 is not fully configured,medium,Rejected,"Native VLAN mismatch across trunk (SW1=1, SW2=99)","AI treated the CDP native-VLAN-mismatch message as a generic 'trunk not configured' problem. The trunk IS up and passing traffic — the actual issue is the native VLAN differs (1 vs 99) between the two ends, which needs 'switchport trunk native vlan 1' matched on both sides, not re-enabling trunking."
V04,VLAN,VLAN 30 does not exist in the VLAN database,high,Accepted,VLAN 30 does not exist in the VLAN database,AI root cause matches evidence and known correct fault. Approved as-is.
G01,Gateway,PC's default gateway is set to 192.168.10.100 instead of the router's 192.168.10.1,high,Accepted,PC's default gateway is set to 192.168.10.100 instead of the router's 192.168.10.1,AI root cause matches evidence and known correct fault. Approved as-is.
G02,Gateway,VLAN 20 sub-interface on the router is administratively down,high,Accepted,VLAN 20 sub-interface on the router is administratively down,AI root cause matches evidence and known correct fault. Approved as-is.
G03,Gateway,R1 is completely down and no backup gateway is configured,medium,Rejected,"HSRP preempt not enabled on standby router, so it will not take over cleanly","The AI assumed HSRP was entirely unconfigured on R2, but the evidence actually shows HSRP IS running and R2 correctly went to Standby — it just never becomes Active because preempt is disabled on R2. The fix is 'standby 1 preempt' on R2, not just waiting for R1 to come back."
G04,Gateway,VLAN 40 SVI has no IP address configured,high,Accepted,VLAN 40 SVI has no IP address configured,AI root cause matches evidence and known correct fault. Approved as-is.
D01,DHCP,"Router interface for VLAN 30 is missing 'ip helper-address', so DHCP broadcasts never reach the central server",high,Accepted,"Router interface for VLAN 30 is missing 'ip helper-address', so DHCP broadcasts never reach the central server",AI root cause matches evidence and known correct fault. Approved as-is.
D02,DHCP,DHCP pool address range is exhausted,high,Accepted,DHCP pool address range is exhausted,AI root cause matches evidence and known correct fault. Approved as-is.
D03,DHCP,DHCP pool is running low on available addresses,medium,Rejected,"Gateway address was never excluded from the DHCP pool, so it got leased to a client","The AI defaulted to 'pool exhaustion' as a generic explanation for an address conflict, but the real evidence is that the gateway address itself was never excluded from the pool ('ip dhcp excluded-address' missing), so DHCP handed it out to a client. Expanding the pool would not fix — and could worsen — this."
D04,DHCP,"DHCP pool configured with a /28 mask instead of the intended /24, so clients calculate the wrong subnet and can't reach the .1 gateway",high,Accepted,"DHCP pool configured with a /28 mask instead of the intended /24, so clients calculate the wrong subnet and can't reach the .1 gateway",AI root cause matches evidence and known correct fault. Approved as-is.
N01,DNS,DHCP is handing out a public DNS resolver (8.8.8.8) instead of the internal DNS server,high,Accepted,DHCP is handing out a public DNS resolver (8.8.8.8) instead of the internal DNS server,AI root cause matches evidence and known correct fault. Approved as-is.
N02,DNS,Internal DNS server service is down or unreachable,high,Accepted,Internal DNS server service is down or unreachable,AI root cause matches evidence and known correct fault. Approved as-is.
N03,DNS,"Client is missing its DNS suffix, so short (unqualified) hostnames cannot be completed into an FQDN",high,Accepted,"Client is missing its DNS suffix, so short (unqualified) hostnames cannot be completed into an FQDN",AI root cause matches evidence and known correct fault. Approved as-is.
N04,DNS,Client is statically configured to use an external DNS resolver instead of the internal DNS server,high,Accepted,Client is statically configured to use an external DNS resolver instead of the internal DNS server,AI root cause matches evidence and known correct fault. Approved as-is.
R01,Routing,HQ router (R1) has no return route to the branch subnet 10.20.0.0/24,high,Accepted,HQ router (R1) has no return route to the branch subnet 10.20.0.0/24,AI root cause matches evidence and known correct fault. Approved as-is.
R02,Routing,OSPF is not fully enabled on one of the two router interfaces,medium,Rejected,"MTU mismatch between R1 and R2 on the shared link, preventing OSPF database exchange from completing","OSPF IS enabled on both sides — that's why a neighbor relationship formed at all and progressed to EXSTART. Sticking at EXSTART/EXCHANGE with no other symptom is the classic signature of an MTU mismatch (1500 vs 1400 in the evidence), not a missing network statement. Re-checking network statements would find nothing wrong and waste review time."
R03,Routing,Static route to 172.16.30.0/24 uses the wrong exit interface (Serial0/0/0 instead of Serial0/0/1),high,Accepted,Static route to 172.16.30.0/24 uses the wrong exit interface (Serial0/0/0 instead of Serial0/0/1),AI root cause matches evidence and known correct fault. Approved as-is.
R04,Routing,EIGRP autonomous system numbers do not match between R1 (100) and R2 (200),high,Accepted,EIGRP autonomous system numbers do not match between R1 (100) and R2 (200),AI root cause matches evidence and known correct fault. Approved as-is.
A01,ACL,"A deny statement for TCP port 80 sits above the intended permit in ACL 101, blocking the traffic due to first-match processing",high,Accepted,"A deny statement for TCP port 80 sits above the intended permit in ACL 101, blocking the traffic due to first-match processing",AI root cause matches evidence and known correct fault. Approved as-is.
A02,ACL,"ACL 105 is applied outbound instead of inbound on Gi0/1, blocking return traffic",high,Accepted,"ACL 105 is applied outbound instead of inbound on Gi0/1, blocking return traffic",AI root cause matches evidence and known correct fault. Approved as-is.
A03,ACL,ACL 10 is applied in the wrong direction on the interface toward the HR server,medium,Rejected,"A standard ACL (source-only filtering) was used where an extended ACL was required to match the specific destination, so all traffic from that subnet is blocked everywhere","Direction wasn't the problem — ACL 10 is a standard ACL, which can only match on source address, not destination. Applied anywhere near that interface, it blocks 192.168.50.0/24 from everything, not just the HR server. The real fix is replacing it with an extended ACL that matches both source (192.168.50.0/24) and destination (the HR server), not changing direction."
A04,ACL,"No explicit permit entry exists for the new Finance subnet (192.168.60.0/24) in ACL 110, so it falls into the implicit deny",high,Accepted,"No explicit permit entry exists for the new Finance subnet (192.168.60.0/24) in ACL 110, so it falls into the implicit deny",AI root cause matches evidence and known correct fault. Approved as-is.
T01,NAT,"'ip nat inside' was never applied to the LAN-facing interface (Gi0/0), so no traffic is marked for translation",high,Accepted,"'ip nat inside' was never applied to the LAN-facing interface (Gi0/0), so no traffic is marked for translation",AI root cause matches evidence and known correct fault. Approved as-is.
