case_id,category,severity,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag
V01,VLAN,High,"PC-A (VLAN 10) cannot reach PC-B (VLAN 20) on the same switch, but both can ping their own gateway.","SW1 trunk Gi0/1 to SW2. Access ports: Fa0/1=VLAN10, Fa0/2=VLAN20. L3 switch does inter-VLAN routing.","SW1# show interfaces trunk
Port  Mode  Encapsulation  Status  Native vlan
Gi0/1 on    802.1q         trunking 1
Vlans allowed on trunk: 1,10
Vlans allowed and active in management domain: 1,10",Trunk not carrying VLAN 20 (switchport trunk allowed vlan missing 20),Layer 2,trunk-allowed-vlan
V02,VLAN,Medium,"New PC plugged into Fa0/5 gets an IP from DHCP but cannot reach anything, including its own gateway.",Fa0/5 was previously used for a lab demo and never reset.,"SW1# show interfaces fa0/5 switchport
Name: Fa0/5
Administrative Mode: static access
Operational Mode: static access
Access Mode VLAN: 99 (VLAN0099)",Port assigned to wrong access VLAN (99 instead of intended 10),Layer 2,access-vlan-mismatch
V03,VLAN,Low,"Intermittent connectivity between SW1 and SW2, console shows repeated CDP native VLAN mismatch warnings.",Trunk link Gi0/1 SW1 <-> Gi0/1 SW2.,"%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (1), with SW2 GigabitEthernet0/1 (99).
SW1# show interfaces trunk
Port  Native vlan
Gi0/1 1","Native VLAN mismatch across trunk (SW1=1, SW2=99)",Layer 2,native-vlan-mismatch
V04,VLAN,High,All PCs newly added to VLAN 30 cannot get an IP address or reach anything.,VLAN 30 was planned for the new Finance department this week.,"SW1# show vlan brief
VLAN Name        Status    Ports
1    default      active    Gi0/1
10   Sales        active    Fa0/1
20   Marketing    active    Fa0/2
(VLAN 30 not listed)",VLAN 30 was never created in the VLAN database,Layer 2,missing-vlan
G01,Gateway,Medium,PC has a valid IP in 192.168.10.0/24 but cannot reach anything outside its subnet.,Router G0/0.10 = 192.168.10.1.,"PC> ipconfig
IP Address: 192.168.10.55
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.10.100",Wrong default gateway configured on the PC (192.168.10.100 instead of .1),Layer 3,wrong-default-gateway
G02,Gateway,High,All VLAN 20 users lost connectivity to the router at the same time this morning.,Router-on-a-stick with sub-interfaces per VLAN.,"R1# show ip interface brief
Interface           IP-Address      Status                Protocol
GigabitEthernet0/0.10 192.168.10.1   up                    up
GigabitEthernet0/0.20 192.168.20.1   administratively down down",VLAN 20 sub-interface administratively shut down,Layer 3,subinterface-down
G03,Gateway,High,"Half the LAN loses internet whenever R1 (the primary HSRP router) is powered off for maintenance, even though R2 is supposed to take over.",R1 and R2 run HSRP group 1 for 192.168.1.1 virtual gateway.,"R2# show standby brief
Interface  Grp  Pri  P State   Active         Standby        Virtual IP
Gi0/1      1    90   Standby  R1(unreachable) local          192.168.1.1
R1 priority was configured as 200, R2 as 90, preempt not enabled on R2","HSRP preempt not enabled on standby router, so it will not take over cleanly",Layer 3,hsrp-preempt
G04,Gateway,High,Entire VLAN 40 (new lab) cannot reach the gateway at all; ARP requests for .1 get no reply.,L3 switch is supposed to route for VLAN 40 via SVI.,"L3SW# show ip interface brief
Interface  IP-Address      Status  Protocol
Vlan10     192.168.10.1    up      up
Vlan40     unassigned      up      up",No IP address configured on the VLAN 40 SVI,Layer 3,missing-svi-ip
D01,DHCP,High,All PCs on the remote VLAN 30 get a 169.254.x.x address instead of a DHCP-assigned one; DHCP server sits centrally on VLAN 1.,Router routes between VLANs; DHCP server is a separate host on VLAN 1.,"R1# show run interface g0/0.30
interface GigabitEthernet0/0.30
 encapsulation dot1Q 30
 ip address 192.168.30.1 255.255.255.0
(no ip helper-address line present)","Missing 'ip helper-address' on the router interface for VLAN 30, so DHCP broadcasts never reach the server",Layer 3,dhcp-relay-missing
D02,DHCP,Medium,First 40 PCs in the lab got IP addresses fine this morning; PCs added after 9am get no address at all.,DHCP pool configured for a /27 network (30 usable hosts).,"R1# show ip dhcp pool LAN
Pool LAN :
 Leased addresses       30
 Excluded addresses     2
 High address           192.168.1.30
 Low address            192.168.1.2",DHCP pool address range exhausted (30 leased against a 30-host pool),Layer 3,dhcp-pool-exhausted
